latitude,longitude,province
-6.973,110.375,Central Java
-1.417,120.658,Central Sulawesi
-3.442,114.763,South Kalimantan
-10.733,123.067,East Nusa Tenggara
-1.183,136.117,Papua
5.874,95.34,Aceh
-.892,134.049,West Papua
1.55,98.883,North Sumatra
1.117,104.117,Riau Islands
-1.867,136.233,Papua
2.155,117.432,East Kalimantan
-3.7,128.083,Moluccas
5.227,96.95,Aceh
-2.767,101.367,Bengkulu
2.85,117.333,North Kalimantan
-2.746,107.755,Bangka-Belitung Islands
-2.705,111.673,Central Kalimantan
-4.067,138.95,Papua
-.485,117.157,East Kalimantan
-.353,102.335,Riau
-8.489,117.412,West Nusa Tenggara
-5.067,119.55,South Sulawesi
-10.5,121.833,East Nusa Tenggara
.923,104.532,Riau Islands
-5.062,119.554,South Sulawesi
4.25,96.117,Aceh
-.479,104.579,Riau Islands Province
-3.25,127.083,Moluccas
-.883,100.35,West Sumatra
-3.4,116.217,South Kalimantan
-8.641,122.237,East Nusa Tenggara
-10.167,123.667,East Nusa Tenggara
5.524,95.42,Aceh
-3.864,102.339,Bengkulu
-2.567,140.483,Papua
-5.242,105.179,Lampung
-6.117,106.133,Banten
-7.38,112.787,East Java
-3.917,136.367,Papua
-1.817,109.963,West Kalimantan
-7.217,112.717,East Java
1.767,109.3,West Kalimantan
-2.225,113.943,Central Kalimantan
1.533,124.917,North Sulawesi
1.017,120.8,Central Sulawesi
-7.733,109.017,Central Java
-5.85,112.633,East Java Province
-6.293,106.57,Banten
-.919,119.91,Central Sulawesi
-8.54,118.687,West Nusa Tenggara
-5.467,122.617,Southeast Sulawesi
-8.467,140.383,Papua
-6.1,140.3,Papua
-9.667,120.333,East Nusa Tenggara Province
-2.898,104.701,South Sumatra
-8.267,122.967,East Nusa Tenggara Province
.831,127.381,North Maluku
-.151,109.404,West Kalimantan
-8.749,115.167,Bali
-6.126,106.656,Banten
-7.983,131.3,Moluccas
.461,101.445,Riau
-8.217,114.383,East Java
-2.883,132.25,West Papua
-4.717,136.433,Papua
-4.1,122.433,South East Sulawesi Province
3.327,117.566,North Kalimantan
-2.55,120.367,South Sulawesi
-6.7,106.933,West Java
.637,122.85,Gorontalo
3.558,98.672,North Sumatra
-.95,114.9,Central Kalimantan
3.8,98.7,North Sumatra Province
-8.217,124.567,East Nusa Tenggara Province
-6.75,108.267,West Java
1.166,97.705,North Sumatra
-1.638,103.644,Jambi
-1.039,122.772,Central Sulawesi
-8.75,116.267,West Nusa Tenggara
-6.183,106.833,Jakarta Special Capital Region
-6.967,110.417,Central Java
-3.368,135.496,Papua
.064,111.473,West Kalimantan
1.817,127.833,North Maluku
-3.645,133.696,West Papua
3.683,125.528,North Sulawesi
3.2,106.25,Riau Islands Province
-2.17,106.13,Bangka-Belitung Islands
-1.268,116.894,East Kalimantan
-6.5,106.75,West Java
-6.85,109.15,Central Java
